decile,n,event_rate,avg_score,lift_vs_base
1,360,0.5472222222222223,0.5801952834208138,3.3790737564113815
2,360,0.3333333333333333,0.3053055631180156,2.0583190394384046
3,360,0.2361111111111111,0.1914111004783131,1.45797598626887
4,360,0.15833333333333333,0.1325000674474244,0.9777015437332423
5,360,0.09166666666666666,0.0962151673313037,0.5660377358455613
6,360,0.09722222222222222,0.07192140136943227,0.6003430531695347
7,360,0.06666666666666667,0.05260697479203325,0.411663807887681
8,360,0.04722222222222222,0.03984564527834762,0.29159519725377403
9,360,0.025,0.02868944852359623,0.15437392795788038
10,360,0.016666666666666666,0.017128643202552838,0.10291595197192024
